Player,Position,Team,Opp,DPA Avg,FPTS Avg,PASS_TD Avg,PASS_YDS Avg,PASS_ATT Avg,PASS_CMP Avg,INT Avg,RUSH_TD Avg,RUSH_YDS Avg,RUSH_ATT Avg,REC_TD Avg,REC_YDS Avg,REC Avg,ANYTIME_TD Avg,SACK Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Evan Pryor,RB,FLA,FLAATL,,3.54,,,,,,0.15,18.21,2,0.03,5.15,0.46,0.5,,3.876,3.646,3.876,3.876,,,,,,,,,,,,
Nathan McNeil,RB,IOWA,NIU,,3.54,,,,,,0.15,19.13,4.5,0.07,3.27,0.38,0.5,,3.94,3.75,3.94,3.94,,,,,,,,,,,,
A'Marion Peterson,RB,UTSA,UTRGV,,3.53,,,,,,0.23,15.01,5,0.01,2.29,0.43,0.35,,3.6,3.385,3.6,3.6,,,,,,,,,,,,
Jayden Clerveaux,RB,CMU,COLG,,3.5,,,,,,0.1,24.55,4.5,0.01,1.67,0.19,0.17,,3.472,3.377,3.472,3.472,,,,,,,,,,,,
Ashten Emory,RB,CAL,UCLA,,3.49,,,,,,0.13,14.06,3.5,0.04,3.83,0.74,0.5,,3.549,3.179,3.549,3.549,,,,,,,,,,,,
Timothy Carter,RB,ARKANSASSTATE,WESTGA,,3.48,,,,,,0.21,13.88,3.5,0.01,3,0.48,0.25,,3.488,3.248,3.488,3.488,,,,,,,,,,,,
Bill Davis,RB,VIRGINIATECH,VMI,,3.47,,,,,,0.16,19.64,4,0.01,2.4,0.29,0.2,,3.514,3.369,3.514,3.514,,,,,,,,,,,,
Cole Cabana,RB,WMU,MICH,,3.44,,,,,,0.17,16.51,4.5,0.02,3.22,0.41,0.14,,3.523,3.318,3.523,3.523,,,,,,,,,,,,
Christian Washington,RB,SANDIEGOSTATE,PORST,,3.39,,,,,,0.1,23.06,1.5,0.01,2.69,0.08,0.35,,3.315,3.275,3.315,3.315,,,,,,,,,,,,
AC Walters,RB,TROY,SAMST@TROY,,3.37,,,,,,0.2,15,,0.03,3,,0.23,,3.18,3.18,3.18,3.18,,,,,,,,,,,,
Jaden Allen-Hendrix,RB,CCAR,WVU,,3.34,,,,,,0.13,12.85,2.5,0.02,6.86,0.46,0.27,,3.331,3.101,3.331,3.331,,,,,,,,,,,,
Jordan Lyle,RB,MIA,STNFRD,,3.3,,,,,,0.17,16.77,5,0.13,2.51,0.28,0.5,,4.008,3.868,4.008,4.008,,,,,,,,,,,,
James McNeil Jr.,RB,BUFFALO,ALBANY,,3.3,,,,,,0.13,17.95,2,0.01,4.49,0.14,0.25,,3.224,3.154,3.224,3.224,,,,,,,,,,,,
Kalib Hicks,RB,WKU,NEVADA,,3.26,,,,,,0.15,16.36,1,0.02,3.53,0.16,0.55,,3.169,3.089,3.169,3.169,,,,,,,,,,,,
Tory Blaylock,RB,OKLA,UTEP,,3.21,,,,,,0.14,16.77,3.5,0.01,3.63,0.27,0.5,,3.21,3.075,3.21,3.21,,,,,,,,,,,,
Nico Hamilton,RB,WYO,CSU,,3.18,,,,,,0.09,16.66,3.5,0.01,4.34,0.41,0.5,,3.11,2.905,3.11,3.11,,,,,,,,,,,,
Cade Yacamelli,RB,MIAOH,PITT,,3.16,,,,,,0.14,18.17,2,0.02,2.61,0.14,0.5,,3.178,3.108,3.178,3.178,,,,,,,,,,,,
Landen Chambers,RB,CENTRALFLORIDA,BC,,3.15,,,,,,0.18,14.91,4,0.01,3.03,0.29,0.15,,3.224,3.079,3.224,3.224,,,,,,,,,,,,
Jayden Ford,RB,FIU,FIU@SFLA,,3.15,,,,,,0.17,16.99,,0.01,3,,0.18,,3.079,3.079,3.079,3.079,,,,,,,,,,,,
Keith Adams,RB,GEORGIASTATE,NCAT,,3.15,,,,,,0.21,18.91,4,0,,,0.21,,3.151,3.151,3.151,3.151,,,,,,,,,,,,
Wesley Yarbrough,RB,ARIZONA,NOARI,,3.15,,,,,,0.21,18.91,4,0,,,0.21,,3.151,3.151,3.151,3.151,,,,,,,,,,,,
Nick Osho,RB,UNT,NTEXAS@IND,,3.08,,,,,,0.18,15.22,4,0.02,2.17,0.18,0.5,,3.119,3.029,3.119,3.119,,,,,,,,,,,,
Jason Brown Jr.,RB,ARIZONASTATE,MORGST,,3.07,,,,,,0.11,14.25,3,0.03,4.82,0.41,0.2,,3.157,2.952,3.157,3.157,,,,,,,,,,,,
Stroman Bridges,RB,ARMY,BRYANT,,3.03,,,,,,0.04,9.76,2,0.08,7.22,0.59,0.12,,3.008,2.713,3.008,3.008,,,,,,,,,,,,
Malachi James,RB,EMICH,SJST,,3.02,,,,,,0.2,18.35,4,0,,,0.2,,3.035,3.035,3.035,3.035,,,,,,,,,,,,
Terrell Mitchell,RB,RUTG,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Javari Barnett,RB,ILL,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Shahn Alston,RB,USC,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Jayreon Campbell,RB,IND,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Sean Cuono,RB,IND,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Kayden Luke,FB,WVU,,,3,,,,,,0.38,,,0.13,,,0.5,,,,,,,,,,,,,,,,,
Legend Bey,RB,OSU,TEX,,3,,,,,,0.38,0,0,0.13,0,0,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Isaiah Augustave,RB,SCAR,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Neil Salvage III,RB,SCAR,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Tradarian Ball,RB,ORE,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Brandon Smith,RB,ORE,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Malichi Greaves,RB,CSU,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Jaden McGill,RB,WKU,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Damon Ferguson Jr.,RB,PITT,,,3,,,,,,0.38,,,0.13,,,0.5,,3.06,3.06,3.06,3.06,,,,,,,,,,,,
Matthew Outten,RB,SYRACUSE,CAL,,2.95,,,,,,0.1,16.02,4,0.03,3.54,0.26,0.24,,2.996,2.866,2.996,2.996,,,,,,,,,,,,
KJ Edwards,RB,TXAM,ASU,,2.93,,,,,,0.11,18.5,4,0.01,1.19,0.26,0.12,,2.949,2.819,2.949,2.949,,,,,,,,,,,,
Jovantae Barnes,RB,KENTUCKY,YSU,,2.9,,,,,,0.11,11.5,4,0.02,4.91,0.6,0.46,,3.021,2.721,3.021,3.021,,,,,,,,,,,,
Solomon Baggett,RB,ARKANSASSTATE,MEMP,,2.9,,,,,,0.11,13.59,1,0.03,5.02,0.15,0.18,,2.851,2.776,2.851,2.851,,,,,,,,,,,,
Kenny Thomas,RB,LOUISIANATECH,NWST,,2.83,,,,,,0.17,15,7,0.01,2,0.51,0.42,,3.29,3.035,3.29,3.29,,,,,,,,,,,,
Jonaz Walton,RB,NOTREDAME,WISC,,2.82,,,,,,0.15,16.14,2,0.01,1.81,0.08,0.22,,2.835,2.795,2.835,2.835,,,,,,,,,,,,
Jakorion Caffey,RB,KENT,SCAR,,2.78,,,,,,0.1,16.57,5,0.01,1.76,0.34,0.5,,2.833,2.663,2.833,2.833,,,,,,,,,,,,
Demarius Robinson,RB,ARIZST,ARIZST@TXAM,,2.75,,,,,,0.13,14,,0.01,4,,0.13,,2.64,2.64,2.64,2.64,,,,,,,,,,,,
J'Marion Burnette,RB,APPALACHIANSTATE,MAINE,,2.71,,,,,,0.14,13.87,3,0,2.36,0.23,0.14,,2.693,2.578,2.693,2.693,,,,,,,,,,,,
Charles Robinson,RB,NAVY,TOWSON,,2.66,,,,,,0.04,6.3,1,0.06,8.21,0.57,0.52,,2.621,2.336,2.621,2.621,,,,,,,,,,,,
Stacy Gage,RB,LSU,,,2.64,,,,,,0.33,,,0.11,,,0.44,,2.64,2.64,2.64,2.64,,,,,,,,,,,,
Noah White,RB,UTAHSTATE,IDAST,,2.62,,,,,,0.11,10.69,2.5,0.02,5.19,0.26,0.12,,2.628,2.498,2.628,2.628,,,,,,,,,,,,
Viliami Teu,RB,SJST,USC,0,2.61,,,,,,0.17,12.47,3,0.01,1.88,0.14,0.12,,2.655,2.585,2.655,2.655,,,,,,,,,,,,
Cam Settles,RB,ARKANSAS,NORTAL,,2.6,,,,,,0.13,11.34,2.5,0.03,2.55,0.46,0.36,,2.809,2.579,2.809,2.809,,,,,,,,,,,,
