Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
Judah Price,RB,MRSHL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974927,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8991.png,,,,,,,9/5/2026
TJ Lester,RB,MRSHL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974930,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8991.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Anthony Quinn Jr.,RB,MRSHL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974933,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8991.png,,,,,,,9/5/2026
Nick Osho,RB,UNT,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974936,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9033.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Zachary Yang,RB,UNT,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974942,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9033.png,,,,,,,9/5/2026
Colin Page,RB,UNT,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974945,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9033.png,,,,,,,9/5/2026
Adarion Nettles,RB,UNT,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974948,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9033.png,,,,,,,9/5/2026
Juntavious Harris,RB,TXST,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974951,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9057.png,,,,,,,9/5/2026
Cole Pryor,RB,TXST,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974954,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9057.png,,,,,,,9/5/2026
Davian Jackson,RB,TXST,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",4000,43974957,0,2.4,0,12,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9057.png,,,,,,,9/5/2026
